#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (https://www.star.nesdis.noaa.gov/socd/lsa/RADS.php) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.10 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3,Sentinel-6MF
1992.96140,-19.38000,,,,
1992.98650,-22.64000,,,,
1993.01230,-24.08000,,,,
1993.04060,-23.99000,,,,
1993.06410,-24.27000,,,,
1993.09750,-23.36000,,,,
1993.12060,-22.21000,,,,
1993.14930,-20.89000,,,,
1993.17650,-20.66000,,,,
1993.20370,-19.94000,,,,
1993.23080,-20.48000,,,,
1993.28510,-20.23000,,,,
1993.31230,-17.49000,,,,
1993.33940,-18.91000,,,,
1993.36650,-20.61000,,,,
1993.39370,-20.13000,,,,
1993.42080,-19.65000,,,,
1993.44800,-18.11000,,,,
1993.47410,-15.89000,,,,
1993.50230,-16.36000,,,,
1993.52940,-17.34000,,,,
1993.58370,-19.43000,,,,
1993.61170,-19.64000,,,,
1993.63810,-17.53000,,,,
1993.66520,-17.44000,,,,
1993.69240,-20.14000,,,,
1993.71890,-22.55000,,,,
1993.74660,-20.19000,,,,
1993.77380,-15.36000,,,,
1993.80090,-17.72000,,,,
1993.85530,-20.33000,,,,
1993.88240,-21.31000,,,,
1993.90970,-20.55000,,,,
1993.93670,-17.03000,,,,
1993.96380,-12.45000,,,,
1993.99070,-15.12000,,,,
1994.01810,-19.19000,,,,
1994.04520,-16.08000,,,,
1994.07230,-14.24000,,,,
1994.09950,-17.80000,,,,
1994.12670,-19.46000,,,,
1994.15380,-17.51000,,,,
1994.18090,-14.20000,,,,
1994.23530,-12.33000,,,,
1994.26240,-13.07000,,,,
1994.28960,-12.67000,,,,
1994.31680,-13.63000,,,,
1994.34390,-14.94000,,,,
1994.37100,-16.74000,,,,
1994.39820,-16.88000,,,,
1994.42530,-15.31000,,,,
1994.45240,-12.81000,,,,
1994.50680,-17.65000,,,,
1994.53390,-15.18000,,,,
1994.56110,-15.73000,,,,
1994.58820,-13.87000,,,,
1994.61540,-14.47000,,,,
1994.64250,-15.02000,,,,
1994.66970,-15.44000,,,,
1994.69680,-14.62000,,,,
1994.72400,-14.94000,,,,
1994.75100,-13.89000,,,,
1994.77810,-13.99000,,,,
1994.80540,-13.39000,,,,
1994.83250,-12.94000,,,,
1994.88690,-15.98000,,,,
1994.91400,-17.17000,,,,
1994.94120,-11.91000,,,,
1994.96840,-9.71000,,,,
1994.99550,-10.46000,,,,
1995.02260,-10.36000,,,,
1995.04970,-11.18000,,,,
1995.07690,-6.57000,,,,
1995.10400,-10.36000,,,,
1995.13120,-13.86000,,,,
1995.15830,-9.93000,,,,
1995.21260,-6.75000,,,,
1995.23980,-11.99000,,,,
1995.26690,-9.63000,,,,
1995.29410,-8.62000,,,,
1995.32120,-8.97000,,,,
1995.37550,-9.88000,,,,
1995.40280,-9.32000,,,,
1995.42990,-7.18000,,,,
1995.45700,-8.52000,,,,
1995.48400,-10.89000,,,,
1995.53840,-13.13000,,,,
1995.56550,-11.53000,,,,
1995.59270,-12.02000,,,,
1995.61990,-10.05000,,,,
1995.64700,-10.82000,,,,
1995.67400,-10.93000,,,,
1995.70130,-7.50000,,,,
1995.72850,-2.28000,,,,
1995.75560,-7.88000,,,,
1995.78270,-9.92000,,,,
1995.83710,-8.52000,,,,
1995.86430,-9.87000,,,,
1995.89000,-5.68000,,,,
1995.94560,-7.39000,,,,
1995.97270,-4.08000,,,,
1996.00010,-5.92000,,,,
1996.02690,-8.15000,,,,
1996.05360,-10.41000,,,,
1996.08140,-9.70000,,,,
1996.10840,-6.84000,,,,
1996.16320,-5.25000,,,,
1996.18990,-8.79000,,,,
1996.21600,-7.52000,,,,
1996.24430,-6.95000,,,,
1996.27140,-8.48000,,,,
1996.29860,-8.17000,,,,
1996.32570,-7.01000,,,,
1996.35290,-3.41000,,,,
1996.38000,-4.82000,,,,
1996.40710,-3.78000,,,,
1996.43430,-7.16000,,,,
1996.48860,-6.94000,,,,
1996.51570,-5.46000,,,,
1996.54290,-2.39000,,,,
1996.57010,-2.04000,,,,
1996.59730,-5.68000,,,,
1996.62440,-7.83000,,,,
1996.65150,-6.82000,,,,
1996.67860,-9.84000,,,,
1996.70540,-5.85000,,,,
1996.73350,-3.85000,,,,
1996.76000,-3.66000,,,,
1996.81440,-0.79000,,,,
1996.84150,1.21000,,,,
1996.86870,-0.47000,,,,
1996.89590,-6.17000,,,,
1996.92300,-5.77000,,,,
1996.95010,-5.16000,,,,
1996.97700,-7.85000,,,,
1997.00440,-5.49000,,,,
1997.03160,-2.72000,,,,
1997.05870,-5.19000,,,,
1997.08580,-5.15000,,,,
1997.14020,-3.76000,,,,
1997.16730,-2.09000,,,,
1997.19440,-4.54000,,,,
1997.22160,-5.36000,,,,
1997.24870,-3.21000,,,,
1997.27590,-5.53000,,,,
1997.30310,-6.91000,,,,
1997.33020,-2.44000,,,,
1997.35730,0.16000,,,,
1997.38450,-1.65000,,,,
1997.41160,-1.23000,,,,
1997.46590,-4.64000,,,,
1997.49310,-1.91000,,,,
1997.52020,-0.67000,,,,
1997.54740,1.54000,,,,
1997.57450,0.04000,,,,
1997.62880,0.28000,,,,
1997.65600,0.98000,,,,
1997.68300,1.47000,,,,
1997.71020,4.06000,,,,
1997.73740,2.85000,,,,
1997.79170,-0.64000,,,,
1997.81890,1.78000,,,,
1997.84600,2.55000,,,,
1997.87310,-2.67000,,,,
1997.90010,-3.32000,,,,
1997.92740,-2.97000,,,,
1997.95460,-4.03000,,,,
1997.98170,-1.20000,,,,
1998.00890,-2.56000,,,,
1998.03600,-0.31000,,,,
1998.09030,-0.29000,,,,
1998.11750,-0.29000,,,,
1998.14460,-1.08000,,,,
1998.17170,-2.13000,,,,
1998.19890,-0.79000,,,,
1998.22610,-0.32000,,,,
1998.25320,-2.26000,,,,
1998.28030,-0.68000,,,,
1998.30750,0.65000,,,,
1998.33470,-1.28000,,,,
1998.36170,-1.98000,,,,
1998.41580,-3.89000,,,,
1998.44320,-2.72000,,,,
1998.47040,-2.17000,,,,
1998.49760,0.42000,,,,
1998.52470,-0.90000,,,,
1998.55180,-3.73000,,,,
1998.60620,-1.80000,,,,
1998.63330,-4.41000,,,,
1998.66040,-2.12000,,,,
1998.68750,-3.52000,,,,
1998.71470,-5.11000,,,,
1998.74190,-6.47000,,,,
1998.76890,-5.79000,,,,
1998.82340,-2.84000,,,,
1998.85050,-5.40000,,,,
1998.87760,-5.35000,,,,
1998.90460,-8.45000,,,,
1998.93190,-3.76000,,,,
1998.95910,-4.10000,,,,
1998.98620,-3.96000,,,,
1999.01340,-5.22000,,,,
1999.04050,-2.60000,,,,
1999.09480,-4.55000,,,,
1999.12550,-0.19000,,,,
1999.14910,-4.29000,,,,
1999.17620,-6.96000,,,,
1999.20350,-6.24000,,,,
1999.23050,-2.88000,,,,
1999.25760,-4.02000,,,,
1999.28470,-5.33000,,,,
1999.33910,-4.71000,,,,
1999.36630,-5.01000,,,,
1999.39330,-6.44000,,,,
1999.42060,-5.15000,,,,
1999.44780,-6.91000,,,,
1999.47490,-7.20000,,,,
1999.50200,-5.76000,,,,
1999.52920,-4.53000,,,,
1999.55660,-6.43000,,,,
1999.58340,-2.61000,,,,
1999.61060,-5.67000,,,,
1999.63780,-2.81000,,,,
1999.69210,-5.42000,,,,
1999.71920,-1.97000,,,,
1999.74620,-1.67000,,,,
1999.77350,0.45000,,,,
1999.80070,-0.91000,,,,
1999.82780,-1.54000,,,,
1999.85490,-2.94000,,,,
1999.88220,-0.42000,,,,
1999.90800,-1.52000,,,,
1999.96360,2.94000,,,,
1999.99070,0.88000,,,,
2000.01780,-0.20000,,,,
2000.04500,2.61000,,,,
2000.07220,3.85000,,,,
2000.09930,0.89000,,,,
2000.12640,-1.37000,,,,
2000.15360,1.89000,,,,
2000.18070,-0.11000,,,,
2000.20780,0.00000,,,,
2000.23500,4.16000,,,,
2000.28930,-1.18000,,,,
2000.31660,-0.23000,,,,
2000.34360,-2.15000,,,,
2000.37070,-0.95000,,,,
2000.39780,0.02000,,,,
2000.42500,-0.22000,,,,
2000.45220,-1.01000,,,,
2000.47940,-3.14000,,,,
2000.50650,-0.05000,,,,
2000.53370,2.63000,,,,
2000.58800,-1.26000,,,,
2000.61510,-0.25000,,,,
2000.64230,-0.01000,,,,
2000.66940,-3.12000,,,,
2000.69650,-2.70000,,,,
2000.72350,3.39000,,,,
2000.75080,3.02000,,,,
2000.77800,1.51000,,,,
2000.80510,0.32000,,,,
2000.85950,3.14000,,,,
2000.88590,3.19000,,,,
2000.91450,3.55000,,,,
2000.94100,1.08000,,,,
2000.96800,-0.13000,,,,
2000.99520,4.62000,,,,
2001.02230,5.93000,,,,
2001.07670,3.02000,,,,
2001.10380,2.43000,,,,
2001.13090,2.24000,,,,
2001.15810,3.46000,,,,
2001.18520,7.75000,,,,
2001.21240,2.15000,,,,
2001.23950,5.11000,,,,
2001.26660,4.37000,,,,
2001.29370,5.27000,,,,
2001.32100,3.83000,,,,
2001.34810,4.72000,,,,
2001.37530,5.82000,,,,
2001.40230,4.17000,,,,
2001.42960,2.52000,,,,
2001.45670,2.68000,,,,
2001.48400,9.01000,,,,
2001.51100,10.05000,,,,
2001.53810,9.38000,,,,
2001.56530,6.78000,,,,
2001.59240,10.00000,,,,
2001.61960,4.97000,,,,
2001.64680,4.99000,,,,
2001.67380,5.98000,,,,
2001.70100,8.92000,,,,
2001.72830,8.43000,,,,
2001.75530,8.93000,,,,
2001.78250,6.09000,,,,
2001.80960,4.06000,,,,
2001.83680,9.18000,,,,
2001.86390,10.22000,,,,
2001.89170,7.28000,,,,
2001.91820,4.11000,,,,
2001.95670,8.18000,,,,
2001.97250,4.91000,,,,
2001.99970,8.26000,,,,
2002.02610,3.91000,,,,
2002.05370,,0.12000,,,
2002.05400,2.31000,,,,
2002.08110,7.99000,,,,
2002.08190,,7.25000,,,
2002.10820,7.86000,,,,
2002.10830,,8.93000,,,
2002.13520,,9.73000,,,
2002.13540,9.64000,,,,
2002.16260,10.34000,8.77000,,,
2002.18970,6.40000,,,,
2002.18980,,2.82000,,,
2002.21680,4.99000,,,,
2002.21690,,4.44000,,,
2002.24390,,3.66000,,,
2002.24400,4.15000,,,,
2002.27120,5.72000,,,,
2002.27130,,8.42000,,,
2002.29830,,4.24000,,,
2002.29880,3.14000,,,,
2002.32540,6.89000,4.94000,,,
2002.35260,,4.64000,,,
2002.35270,6.19000,,,,
2002.37970,5.18000,6.51000,,,
2002.40690,4.12000,5.82000,,,
2002.43400,3.64000,3.35000,,,
2002.46110,7.77000,6.44000,,,
2002.48830,10.26000,9.06000,,,
2002.51550,,6.87000,,,
2002.54260,,9.16000,,,
2002.54270,7.22000,,,,
2002.56970,8.98000,11.43000,,,
2002.59690,12.94000,11.78000,,,
2002.62390,12.60000,,,,
2002.62410,,12.37000,,,
2002.65120,,8.77000,,,
2002.65500,12.04000,,,,
2002.67830,8.88000,,,,
2002.67840,,6.35000,,,
2002.70550,,6.49000,,,
2002.70640,6.29000,,,,
2002.73260,7.30000,,,,
2002.73270,,8.58000,,,
2002.75980,,7.02000,,,
2002.75990,2.14000,,,,
2002.78630,9.59000,,,,
2002.78690,,10.66000,,,
2002.81410,,13.36000,,,
2002.81430,14.81000,,,,
2002.84130,,5.24000,,,
2002.84150,6.91000,,,,
2002.86840,6.02000,6.00000,,,
2002.89430,,9.77000,,,
2002.89620,8.44000,,,,
2002.92260,13.61000,,,,
2002.92270,,9.41000,,,
2002.94980,14.32000,9.53000,,,
2002.97700,,7.30000,,,
2002.97710,7.66000,,,,
2003.00410,,7.23000,,,
2003.00420,10.90000,,,,
2003.03120,9.46000,,,,
2003.03130,,7.23000,,,
2003.05840,14.20000,12.13000,,,
2003.08560,14.04000,12.30000,,,
2003.11270,17.48000,14.97000,,,
2003.13980,8.83000,,,,
2003.13990,,9.76000,,,
2003.16700,11.70000,,,,
2003.16710,,7.65000,,,
2003.19420,,9.98000,,,
2003.19430,10.56000,,,,
2003.22110,11.13000,,,,
2003.22130,,11.08000,,,
2003.24840,12.39000,,,,
2003.24850,,9.79000,,,
2003.27560,12.07000,,,,
2003.27990,,10.86000,,,
2003.30280,,7.86000,,,
2003.30290,10.09000,,,,
2003.32990,10.95000,,,,
2003.33000,,8.56000,,,
2003.35700,13.05000,,,,
2003.35710,,9.95000,,,
2003.38420,12.94000,10.81000,,,
2003.41130,,10.62000,,,
2003.41140,12.07000,,,,
2003.43850,12.36000,7.52000,,,
2003.46570,13.16000,8.69000,,,
2003.49280,11.00000,6.38000,,,
2003.51990,,6.65000,,,
2003.54700,12.56000,,,,
2003.54710,,10.90000,,,
2003.57420,,9.13000,,,
2003.58190,9.76000,,,,
2003.60140,12.78000,10.46000,,,
2003.62850,,7.74000,,,
2003.62860,9.90000,,,,
2003.65560,10.60000,,,,
2003.65570,,10.62000,,,
2003.68270,10.99000,,,,
2003.68290,,11.80000,,,
2003.71000,8.07000,12.36000,,,
2003.73710,,11.89000,,,
2003.73720,9.96000,,,,
2003.76420,13.08000,,,,
2003.76430,,13.77000,,,
2003.79140,11.67000,11.97000,,,
2003.81860,,11.43000,,,
2003.81870,12.48000,,,,
2003.84570,11.24000,10.58000,,,
2003.87080,,9.45000,,,
2003.87280,8.72000,,,,
2003.91120,,7.35000,,,
2003.91170,9.64000,,,,
2003.92100,11.04000,,,,
2003.92720,,11.50000,,,
2003.95430,14.05000,12.15000,,,
2003.98130,12.58000,,,,
2003.98150,,8.94000,,,
2004.00860,9.43000,9.66000,,,
2004.03580,10.78000,,,,
2004.03590,,14.26000,,,
2004.06280,11.48000,13.23000,,,
2004.08980,11.19000,,,,
2004.09010,,11.97000,,,
2004.11350,,6.70000,,,
2004.11730,10.81000,,,,
2004.14440,7.02000,,,,
2004.14890,,11.67000,,,
2004.17150,11.27000,12.83000,,,
2004.19860,8.91000,12.14000,,,
2004.22580,10.98000,,,,
2004.22590,,12.02000,,,
2004.25130,,14.21000,,,
2004.25310,14.84000,,,,
2004.28010,11.82000,11.36000,,,
2004.30730,,14.77000,,,
2004.30750,14.85000,,,,
2004.33440,9.92000,9.98000,,,
2004.36150,14.52000,10.26000,,,
2004.38840,13.80000,,,,
2004.38870,,9.62000,,,
2004.41580,,13.21000,,,
2004.44290,,12.79000,,,
2004.47020,,11.03000,,,
2004.47030,16.73000,,,,
2004.49710,14.93000,,,,
2004.49730,,15.09000,,,
2004.52240,15.17000,,,,
2004.52440,,13.93000,,,
2004.55160,,11.74000,,,
2004.55220,12.65000,,,,
2004.57700,8.52000,,,,
2004.57870,,9.03000,,,
2004.60590,10.41000,,,,
2004.60600,,10.63000,,,
2004.63300,,13.09000,,,
2004.63310,12.80000,,,,
2004.66010,,12.77000,,,
2004.66020,12.39000,,,,
2004.68700,11.91000,,,,
2004.68730,,14.56000,,,
2004.71430,14.61000,,,,
2004.71450,,16.64000,,,
2004.74160,10.15000,12.20000,,,
2004.76850,14.62000,,,,
2004.76870,,13.34000,,,
2004.79590,,14.59000,,,
2004.79600,12.57000,,,,
2004.82310,10.66000,,,,
2004.82320,,13.01000,,,
2004.85020,11.80000,13.52000,,,
2004.87740,12.44000,13.60000,,,
2004.90440,,8.50000,,,
2004.90450,8.55000,,,,
2004.93170,13.63000,12.19000,,,
2004.95420,13.75000,,,,
2004.95900,,13.18000,,,
2004.98590,16.03000,,,,
2004.98600,,19.67000,,,
2005.01300,9.86000,,,,
2005.01310,,15.10000,,,
2005.04010,12.39000,,,,
2005.04020,,14.67000,,,
2005.06740,15.87000,,,,
2005.06750,,16.44000,,,
2005.09450,14.94000,16.04000,,,
2005.12170,11.82000,16.85000,,,
2005.14880,11.50000,,,,
2005.14910,,16.38000,,,
2005.17590,15.23000,,,,
2005.17600,,19.61000,,,
2005.20310,,18.19000,,,
2005.20330,13.66000,,,,
2005.23010,,12.96000,,,
2005.23040,12.92000,,,,
2005.25740,11.58000,14.04000,,,
2005.28440,,18.78000,,,
2005.28470,14.37000,,,,
2005.31060,9.49000,,,,
2005.31170,,15.69000,,,
2005.33890,,17.09000,,,
2005.33950,14.29000,,,,
2005.36600,16.68000,16.88000,,,
2005.39330,16.06000,16.12000,,,
2005.42010,12.85000,,,,
2005.42030,,16.30000,,,
2005.44740,,17.36000,,,
2005.44750,13.68000,,,,
2005.47440,13.70000,,,,
2005.47460,,17.67000,,,
2005.50170,,16.50000,,,
2005.50180,13.75000,,,,
2005.52890,,18.90000,,,
2005.52910,15.97000,,,,
2005.55600,,14.98000,,,
2005.55610,16.39000,,,,
2005.58310,15.20000,,,,
2005.58330,,16.53000,,,
2005.61020,13.66000,,,,
2005.61030,,14.40000,,,
2005.63760,14.61000,15.53000,,,
2005.66460,,17.12000,,,
2005.66470,12.49000,,,,
2005.69180,17.90000,18.21000,,,
2005.71370,,17.68000,,,
2005.71910,17.24000,,,,
2005.74620,14.23000,,,,
2005.75110,,17.03000,,,
2005.77340,,17.50000,,,
2005.80040,,16.32000,,,
2005.82750,,17.00000,,,
2005.85470,,20.07000,,,
2005.88190,,19.31000,,,
2005.90910,,17.97000,,,
2005.93620,,18.69000,,,
2005.96330,,19.90000,,,
2005.99060,,20.71000,,,
2006.01760,,19.03000,,,
2006.04470,,14.09000,,,
2006.07190,,17.13000,,,
2006.09910,,18.01000,,,
2006.12620,,16.78000,,,
2006.15350,,17.08000,,,
2006.18040,,17.98000,,,
2006.20760,,13.94000,,,
2006.23480,,17.69000,,,
2006.26190,,16.27000,,,
2006.28900,,16.30000,,,
2006.31630,,16.11000,,,
2006.34340,,16.71000,,,
2006.37050,,20.09000,,,
2006.39750,,20.02000,,,
2006.42480,,19.68000,,,
2006.45190,,18.73000,,,
2006.47910,,18.41000,,,
2006.50640,,19.99000,,,
2006.53340,,19.16000,,,
2006.56050,,18.80000,,,
2006.58770,,16.92000,,,
2006.61480,,14.67000,,,
2006.64200,,17.29000,,,
2006.66910,,19.96000,,,
2006.69630,,19.77000,,,
2006.72350,,20.40000,,,
2006.75070,,19.35000,,,
2006.77770,,20.58000,,,
2006.80490,,19.76000,,,
2006.82440,,19.31000,,,
2006.88940,,17.52000,,,
2006.91350,,16.64000,,,
2006.94030,,20.88000,,,
2006.96790,,19.63000,,,
2006.99490,,18.94000,,,
2007.02200,,16.26000,,,
2007.04920,,15.01000,,,
2007.07650,,17.93000,,,
2007.10350,,17.06000,,,
2007.13030,,15.90000,,,
2007.15780,,18.07000,,,
2007.18490,,16.45000,,,
2007.21210,,18.09000,,,
2007.23920,,18.93000,,,
2007.26610,,21.49000,,,
2007.29350,,21.42000,,,
2007.32070,,20.73000,,,
2007.34790,,15.22000,,,
2007.37500,,20.40000,,,
2007.40210,,21.52000,,,
2007.42920,,19.07000,,,
2007.45640,,15.49000,,,
2007.48360,,15.74000,,,
2007.51070,,16.29000,,,
2007.53780,,15.32000,,,
2007.56500,,15.32000,,,
2007.59220,,16.71000,,,
2007.61930,,19.93000,,,
2007.64660,,16.73000,,,
2007.67360,,15.21000,,,
